category,amount,sum
Всего находилось на исполнении исполнительных производств в отчетном периоде,1572703,213206723
Исполнительные производства возбужденные в отчетном периоде,709477,39163086
Nan,Nan,NaN
Всего окончено и прекращено исполнительных производств в отчетном периоде,764195,51981503
Завершилиь фактическим исполнением,52464,8250740
Завершились добровольным исполнением,43380,NaN
Возвращены без исполнения по требованию суда или взыскателя,136024,12292960
Пункты со 2 по 6 статьи 46 ФЗ об исполнительном производстве,2082,496068
Документы о долге отправлены работодателю пункт 8 статьи 47 фз об исп произв,489116,6647983
Cтатья 46 ФЗ об исполнительном производстве,84509,24293752
Частично оплачены,53160,1895913
NaN,NaN,NaN
Остаток исполнительных производств на конец отчетного периода,806420,152084148
Отсрочка по судебному акту,53474,13037601
Отсрочка по заявлению должника или инициативе пристава,12486,2574027
Копии документов отправлены работодателю,361352,69118033
Имущество передано на реализацию или производится оценка арестованного имущества,12813,3050121
Ищут должника,46671,18359906
Должник привлечен по статье 157 УК РФ,36378,8311137
Находятся на исполнении менее 2 месяцев,33188,924714
Не окончены по другим основаниям,366295,64304366
NaN,NaN,NaN
Частичная оплата задолженности,372967,9141072
NaN,NaN,NaN
Ограничен выезд за границу (все должники) на начало периода,2614261,1188825766
Ограничен выезд за границу (долг по алиментам) на начало периода,515859,98752487
Ограничен выезд за границу (все должники) вынесено за период,7851232,3074066775
Ограничен выезд за границу (долг по алиментам) вынесено за перирод,1112484,206211298
Долг полностью или частично во время ограничения выезда за границу (все должники),545024,55785550
Долг полностью или частично во время ограничения выезда за границу (долг по алиментам),17125,2068975
Ограничен выезд за границу (все должники) на конец периода,3208800,1416184547
Ограничен выезд за границу (долг по алиментам) на конец периода,532693,108394450
NaN,NaN,NaN
Ограничение на пользование специальным правом (все должники) на начало периода,240157,100256028
Ограничение на пользование специальным правом (долг по алиментам) на начало периода,173974,34788577
Ограничение на пользование специальным правом (все должники) применено за период,107723,66084290
Ограничение на пользование специальным правом (долг по алиментам) применено за период,65543,13727898
Взысканная сумма (все должники) внутри периода,NaN,6535674
Взысканная сумма (долг по алиментам) внутри периода,NaN,3603842
Ограничение на пользование специальным правом (все должники) на конец периода,241946,85757802
Ограничение на пользование специальным правом (долг по алиментам) на конец периода,170529,31191727

Источник данных: Федеральная служба судебных приставов РФ
Отчетный период: второе полугодие 2019
amount: количество исполнительных производств находившихся на исполнении в отчетном периоде
sum: сумма исполнительных производств в тысячах рублей
